No,Kecamatan,Kelurahan,Nama KWT,Nama Ketua,No WA Ketua,Alamat Sekretariat,Jenis Usaha,Bantuan,Status,Latitude,Longitude,Google Maps
19,"CITANGKIL","SAMANGRAYA","KWT KEMANGI","","","","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0115476,106.0032423,"https://www.google.com/maps?q=-6.0115476,106.0032423"
20,"CIWANDAN","GUNUNG SUGIH","KWT POJOK MARENGMANG LESTARI","","","Link. Kopo","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.047336,105.9502709,"https://www.google.com/maps?q=-6.047336,105.9502709"
21,"CIWANDAN","KEPUH","KWT ROMBONGAN","","","Link. Rombongan","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0267362,105.9496331,"https://www.google.com/maps?q=-6.0267362,105.9496331"
22,"CIWANDAN","KEPUH","KWT CIKENDAT INDAH","","","Link. Cikendat","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0429083,105.968982,"https://www.google.com/maps?q=-6.0429083,105.968982"
23,"CIWANDAN","KEPUH","KWT KEPUH LESTARI","","","Link. Sak sak Masigit","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0290386,105.9651806,"https://www.google.com/maps?q=-6.0290386,105.9651806"
24,"CIWANDAN","RANDAKARI","KWT TUNAS BAROKAH","","","Link. Lijajar","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.02688,105.9695585,"https://www.google.com/maps?q=-6.02688,105.9695585"
25,"CIWANDAN","TEGAL RATU","KWT RATU LESTARI","","","Link. Meluar","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0279285,105.9866953,"https://www.google.com/maps?q=-6.0279285,105.9866953"
26,"CIWANDAN","TEGAL RATU","KWT PANDAN LESTARI","","","Link. Kubang Saron","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0211533,106.0316972,"https://www.google.com/maps?q=-6.0211533,106.0316972"
27,"CIWANDAN","TEGAL RATU","KWT TELANG","","","Tegal buntu","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0176828,105.9784996,"https://www.google.com/maps?q=-6.0176828,105.9784996"
28,"CIWANDAN","TEGAL RATU","KWT CENDRAWASI","","","Link.","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0214058,105.9799703,"https://www.google.com/maps?q=-6.0214058,105.9799703"
29,"CIWANDAN","TEGAL RATU","KWT RATU HEBAT","","","Link. Jangkar Kulon","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0327617,105.980891,"https://www.google.com/maps?q=-6.0327617,105.980891"
30,"CIWANDAN","KUBANG SARI","KWT ASOKA","","","Link. Pintu Air","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9701872,106.012878,"https://www.google.com/maps?q=-5.9701872,106.012878"
31,"CIWANDAN","KUBANG SARI","KWT KUBANG LESTARI","","","Link. Penauan","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0163109,106.0006668,"https://www.google.com/maps?q=-6.0163109,106.0006668"
32,"CIWANDAN","KUBANG SARI","KWT TERATAI INDAH","","","Link. Penauan","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0163109,105.9999668,"https://www.google.com/maps?q=-6.0163109,105.9999668"
33,"CIWANDAN","KUBANG SARI","KWT MELATI","","","Link. Kebanjiran","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0123494,105.9838489,"https://www.google.com/maps?q=-6.0123494,105.9838489"
34,"CIWANDAN","BANJAR NEGARA","KWT TEMU GIRING BERSERI","","","Link. Temugiring","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0350983,105.9984112,"https://www.google.com/maps?q=-6.0350983,105.9984112"
35,"CILEGON","BAGENDUNG","KWT KEMBANG SEPATU","","","Link. Bagendung Kel. Bagendung","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0482163,106.0338187,"https://www.google.com/maps?q=-6.0482163,106.0338187"
36,"CILEGON","BAGENDUNG","KWT BUKIT ASRI","","","Perum Bukit Cilegon Asri","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0516486,106.0335556,"https://www.google.com/maps?q=-6.0516486,106.0335556"
37,"CILEGON","CIWEDUS","KWT NAGA JAYA","","","Link. Pekuncen","Olahan Pertanian dan Penjualan Sayuran","Program P2B, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0313724,106.0409355,"https://www.google.com/maps?q=-6.0313724,106.0409355"
38,"CILEGON","CIWEDUS","KWT KEMUNING","","","Link. Ciwedus Baru Kel. Ciwedus","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0335257,106.0323158,"https://www.google.com/maps?q=-6.0335257,106.0323158"
39,"CILEGON","CIWEDUS","KWT RAKATA ASRI","","","Perum Rakata Asri, Kel. Ciwedus","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0393954,106.0390787,"https://www.google.com/maps?q=-6.0393954,106.0390787"
40,"CILEGON","CIWEDUS","KWT BAYAM MERAH","","","Link. Ciwedus Baru Kel. Ciwedus","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0335257,106.0316158,"https://www.google.com/maps?q=-6.0335257,106.0316158"
41,"CILEGON","CIWADUK","KWT SEJAHTERA","","","Jl. Pala Kel. Ciwaduk","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0247319,106.0499662,"https://www.google.com/maps?q=-6.0247319,106.0499662"
42,"CILEGON","CIWADUK","KWT PUCUK MERAH","","","Ciwaduk Cilik","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0219002,106.045661,"https://www.google.com/maps?q=-6.0219002,106.045661"
43,"CILEGON","BENDUNGAN","KWT SEJAHTERA","","","Link. Palas Kel. Bendungan","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0338073,106.0540724,"https://www.google.com/maps?q=-6.0338073,106.0540724"
44,"CILEGON","KETILENG","KWT MAKMUR","","","Link. Pagebangan Kel. Ketileng","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0234579,106.0549521,"https://www.google.com/maps?q=-6.0234579,106.0549521"
45,"CIBEBER","CIBEBER","KWT KOBE","","","PERUMNAS CIBEBER","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih","Aktif",-6.0330525,106.0677254,"https://www.google.com/maps?q=-6.0330525,106.0677254"
46,"CIBEBER","CIBEBER","KWT MAWAR","","","CIBEBER BEDENG","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0355314,106.0668747,"https://www.google.com/maps?q=-6.0355314,106.0668747"
47,"CIBEBER","CIBEBER","KWT KENIKIR","","","Blok D97, RW.05 PCI","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0355314,106.0661747,"https://www.google.com/maps?q=-6.0355314,106.0661747"
48,"CIBEBER","CIBEBER","KWT KEMUNING","","","PCI BLOK E32 NO. 4","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0351814,106.0661747,"https://www.google.com/maps?q=-6.0351814,106.0661747"
49,"CIBEBER","KEDALEMAN","KWT ANGGREK BULAN","","","KALANG ANYAR","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.1170548,106.1161987,"https://www.google.com/maps?q=-6.1170548,106.1161987"
50,"CIBEBER","KEDALEMAN","KWT MELATI","","","PCI BLOK B32 NO. 19","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0329427,106.0787294,"https://www.google.com/maps?q=-6.0329427,106.0787294"
51,"CIBEBER","CIKERAI","KWT KEMBANGWALUH","","","LEBAK WALUH","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0583926,106.0386187,"https://www.google.com/maps?q=-6.0583926,106.0386187"
52,"CIBEBER","CIKERAI","KWT SIRSAK","","","PASIR ANGIN","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0523061,106.0554357,"https://www.google.com/maps?q=-6.0523061,106.0554357"
53,"CIBEBER","CIKERAI","KWT SRI REZEKI","","","SAMBIDONGKO","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0523061,106.0547357,"https://www.google.com/maps?q=-6.0523061,106.0547357"
54,"CIBEBER","BULAKAN","KWT WIJAYA KUSUMA","","","LINK. BENTOLA","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Fakum",-6.054975,106.047281,"https://www.google.com/maps?q=-6.054975,106.047281"
55,"CIBEBER","KALITIMBANG","KWT NUSA INDAH","","","Link. Ciberko","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0447172,106.0607399,"https://www.google.com/maps?q=-6.0447172,106.0607399"
56,"CIBEBER","KALITIMBANG","KWT LEMBAYUNG","","","Perum Gedung Damai","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0461774,106.0597485,"https://www.google.com/maps?q=-6.0461774,106.0597485"
57,"CIBEBER","KARANG ASEM","KWT SEDAP MALAM","","","LINK. JERANG BARAT","Olahan Pertanian dan Penjualan Sayuran","","Fakum",-6.0385982,106.0524519,"https://www.google.com/maps?q=-6.0385982,106.0524519"
58,"CIBEBER","KARANG ASEM","KWT TERATAI","","","LINK. JERANG BARAT","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0385982,106.0517519,"https://www.google.com/maps?q=-6.0385982,106.0517519"
59,"JOMBANG","GEDONG DALEM","KWT KALIMAYA","","","Perumahan Taman Raya Cilegon","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9923377,106.0289998,"https://www.google.com/maps?q=-5.9923377,106.0289998"
60,"JOMBANG","GEDONG DALEM","KWT SIRIH MERAH","","","Link. Cigiceh","Olahan Pertanian dan Penjualan Sayuran","Program P2B, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9944012,106.0647433,"https://www.google.com/maps?q=-5.9944012,106.0647433"
61,"JOMBANG","PANGGUNG RAWI","KWT KECOMBRANG MERAH","","","Perumahan Bumi Panggung Rawi Indah","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0031853,106.0699189,"https://www.google.com/maps?q=-6.0031853,106.0699189"
62,"JOMBANG","MASIGIT","KWT KARYA ASIH","","","Link. Sukmajaya","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0220207,106.0668477,"https://www.google.com/maps?q=-6.0220207,106.0668477"
63,"JOMBANG","SUKMAJAYA","KWT NYIKEMBANG MEKAR JAYA","","","Link. Sukmajaya","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0220207,106.0661477,"https://www.google.com/maps?q=-6.0220207,106.0661477"
64,"PURWAKARTA","PABEAN","KWT SINAR LESTARI","","","Link. Kp. Telu Karang Tengah","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-5.9624364,106.0484922,"https://www.google.com/maps?q=-5.9624364,106.0484922"
65,"PURWAKARTA","TEGAL BUNDER","KWT DAHLIA","","","Link. Kubang Lampit Rt. 10/01","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0208033,106.0316972,"https://www.google.com/maps?q=-6.0208033,106.0316972"
66,"PURWAKARTA","KOTA BUMI","KWT WANITA KARYA","","","Link. Luewong Sawo","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9926911,106.0486876,"https://www.google.com/maps?q=-5.9926911,106.0486876"
67,"PURWAKARTA","PURWAKARTA","KWT RIMBA SARI","","","Link. Cilentrang","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9801016,106.0585933,"https://www.google.com/maps?q=-5.9801016,106.0585933"
68,"PURWAKARTA","KEBON DALEM","KWT SEMANGAT BERSAMA","","","Link. Sumampir Kebon Dalem","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0056434,106.0463346,"https://www.google.com/maps?q=-6.0056434,106.0463346"
69,"PURWAKARTA","KEBON DALEM","KWT LESTARI ALAM","","","Perum Metro Cilegon","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9923377,106.0282998,"https://www.google.com/maps?q=-5.9923377,106.0282998"
70,"GROGOL","GEREM","CAHAYA MANDIRI","","","JL. TB. BUANG LINK. CIKUASA RT/RW. 01/01","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-5.9536263,106.0047439,"https://www.google.com/maps?q=-5.9536263,106.0047439"
71,"GROGOL","GEREM","SEDAP MALAM","","","Link. Kagunan Rt/Rw.03/06","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9663726,106.0230875,"https://www.google.com/maps?q=-5.9663726,106.0230875"
72,"GROGOL","RAWA ARUM","SURYA TANI MANDIRI","","","Link. Bujang Gadung","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9842991,106.0508966,"https://www.google.com/maps?q=-5.9842991,106.0508966"
73,"GROGOL","GROGOL","TUNAS MUDA","","","Link. Ciore Tengah","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9837655,106.0136676,"https://www.google.com/maps?q=-5.9837655,106.0136676"
74,"GROGOL","GROGOL","ANGGUR","","","Link. Cikebel Bawah","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9707048,106.0379362,"https://www.google.com/maps?q=-5.9707048,106.0379362"
75,"GROGOL","KOTA SARI","SEREH WANGI","","","Link. Masigit","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-6.0069541,106.0575688,"https://www.google.com/maps?q=-6.0069541,106.0575688"
76,"PULOMERAK","SURALAYA","SURALAYA INDAH","","","Link. Pancuran","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.8995288,106.027368,"https://www.google.com/maps?q=-5.8995288,106.027368"
77,"PULOMERAK","LEBAK GEDE","TANJUNG SEKONG","","","Link. Tanjung Sekong","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9210657,106.0026347,"https://www.google.com/maps?q=-5.9210657,106.0026347"
78,"PULOMERAK","LEBAK GEDE","PENAWEN INDAH","","","Penawen","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-5.9172046,106.030795,"https://www.google.com/maps?q=-5.9172046,106.030795"
79,"PULOMERAK","LEBAK GEDE","KELAPA BARIS INDAH","","","Kelapa Baris","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-6.0243919,106.0509375,"https://www.google.com/maps?q=-6.0243919,106.0509375"
80,"PULOMERAK","LEBAK GEDE","BINANGKIT","","","Link. Wilulang","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9187478,106.0069189,"https://www.google.com/maps?q=-5.9187478,106.0069189"
81,"PULOMERAK","MEKARSARI","MEKARSARI BERSINAR","","","Link. Langon II","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9348448,106.0068547,"https://www.google.com/maps?q=-5.9348448,106.0068547"
82,"PULOMERAK","MEKARSARI","ALMUJAHIDIN","","","","Olahan Pertanian dan Penjualan Sayuran","bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9353553,106.0035001,"https://www.google.com/maps?q=-5.9353553,106.0035001"
83,"PULOMERAK","TAMAN SARI","BUNGA TAMANSARI","","","Link. Kampung Baru","Olahan Pertanian dan Penjualan Sayuran","Program P2L, bantuan Benih, Pupuk, dan Media Tanam oleh DKPP","Aktif",-5.9827243,106.008474,"https://www.google.com/maps?q=-5.9827243,106.008474"
84,"PULOMERAK","TAMAN SARI","SEJAHTERA INDAH","","","","Olahan Pertanian dan Penjualan Sayuran","","Aktif",-5.9421071,106.0021872,"https://www.google.com/maps?q=-5.9421071,106.0021872"
